Year,State,State Name,Population,Total Arrests,Arrests per Capita,Larceny - Theft,Vehicle Theft,Arson,Burglary,Embezzlement,Forgery and Counterfeiting,Fraud,Vandalism,Dealing in Stolen Property,Larceny - Theft (%),Vehicle Theft (%),Burglary (%),Vandalism (%),Fraud (%),Dealing in Stolen Property (%),Forgery and Counterfeiting (%),Embezzlement (%),Arson (%)
2020,IN,Indiana,6754953.0,10966,162.34013767379284,6687,944,53,1093,79,530,685,514,381,1.3158852757416244,1.406960280199717,0.9088490129883088,0.39176829268292684,1.0561534429060409,0.5802884688608982,2.1573655717018765,1.0638297872340425,0.726027397260274
2010,IA,Iowa,3163561.0,18844,595.6578678267939,11835,402,126,1986,100,491,881,2839,184,1.1529761104518965,0.7032890132960111,0.8502840702319228,1.4016153876535409,0.5793041774340968,0.24182525496793186,0.7894398353591872,0.7469933517591694,1.385528920167143
2011,IA,Iowa,3163561.0,19024,601.3476585404865,12303,400,137,2015,72,529,794,2583,191,1.2003711462115085,0.7571885588808753,0.8555718319427638,1.354064552655445,0.6015242655191745,0.2568516177617601,0.9429590017825312,0.5599191227933743,1.4786832164058283
2012,IA,Iowa,3163561.0,18177,574.574032237722,11791,362,128,1927,95,565,785,2270,254,1.1248893332519234,0.6469946917838822,0.8342099680948237,1.2287472732095204,0.6292484288829037,0.31933216831571143,1.0377826350495012,0.7402789682848905,1.3646055437100213
2013,IA,Iowa,3163561.0,19381,612.6324101226434,13165,462,143,1809,76,588,777,2113,248,1.2802671591294768,0.6321320088662671,0.8786671847678259,1.2897122104556413,0.67493615468807,0.32809440651955335,1.1892482252290515,0.5899247069781883,1.6795865633074936
2014,IA,Iowa,3163561.0,18933,598.4711532352309,13001,400,111,1533,74,519,771,2312,212,1.2875808513820126,0.7264933979912458,0.7982795071808704,1.4477960561334076,0.6807225724426551,0.29567642956764295,1.132026086766855,0.5671367259350092,1.4628360569319978
2015,IA,Iowa,3163561.0,19123,604.4770434330173,12931,507,126,1788,84,591,756,2140,200,1.358319721424182,0.8130211674150097,1.0142436567227677,1.3776587526394397,0.6910799495401941,0.27734250412546974,1.3111189990238707,0.6482982171799028,1.7573221757322177
2016,IA,Iowa,3163561.0,17483,552.6367280415963,11214,543,91,1648,83,605,773,2342,184,1.2695300338835687,0.7682077980872617,0.9520838388390124,1.440273541277182,0.7132049010924122,0.23301167591115163,1.2764790277660563,0.6131796690307328,1.1109754608716884
2017,IA,Iowa,3163561.0,17317,547.3894766056352,10806,637,101,1737,79,746,815,2165,231,1.26339714233269,0.7754485915321501,0.9622522352836899,1.3324880906953556,0.7110327860271153,0.2786590588320446,1.5497112468320247,0.5539195063805918,1.3057530704589528
2018,IA,Iowa,3163561.0,13322,421.1077327100695,8411,560,84,1133,56,454,633,1766,225,1.120335874324182,0.7500669702652022,0.759581928252023,1.182346482418789,0.6223760409804635,0.28558373315055974,1.071816421927381,0.4574789641369169,1.106865199631045
2019,IA,Iowa,3163561.0,15963,504.5896064593032,9920,655,98,1547,56,568,684,2166,269,1.3482419170042936,0.92071970761878,1.0565857323361678,1.485769945741273,0.6803736086658112,0.3691454762525559,1.4839973873285435,0.4725738396624472,1.3569648296870673
2020,IA,Iowa,3163561.0,12583,397.7479808355205,7013,654,110,1476,40,404,461,2139,286,1.3800364047818172,0.9747373127654817,1.2273203505679267,1.6303353658536586,0.7107835579265472,0.43559711835752474,1.6444824357878456,0.5386479935362241,1.5068493150684932
2010,KS,Kansas,2913805.0,11626,398.99718752627575,6059,357,74,1045,169,465,1261,1886,310,0.5902731096939621,0.6245626312106368,0.4474052635409665,0.9311189225482839,0.8291743107200864,0.40742298391336346,0.7476365039552383,1.2624187644729963,0.8137233340664175
2011,KS,Kansas,2913805.0,11611,398.48239672867606,6291,395,70,1030,169,427,1017,1911,301,0.6137962188747947,0.7477237018948644,0.4373394475935715,1.0017875958670364,0.7704662191851391,0.40477663322664803,0.7611408199643493,1.3142546076677812,0.7555315704263357
2012,KS,Kansas,2913805.0,11993,411.5924023742152,6513,443,57,1052,200,409,956,2032,331,0.6213556295029918,0.7917642222659113,0.4554171699199557,1.0999182639479055,0.7663203796331922,0.4161375894192932,0.751244420770347,1.5584820384945064,0.6076759061833689
2013,KS,Kansas,2913805.0,11303,387.9120256846289,6016,388,55,889,203,379,951,2039,383,0.5850427063671046,0.530881427359549,0.4318049349135418,1.2445448164311657,0.8260801584406109,0.5066941842620523,0.7665392472139636,1.5757199410075293,0.6459948320413437
2014,KS,Kansas,2913805.0,9627,330.3927338994888,5039,411,57,826,158,263,674,1822,377,0.49904775864271683,0.746471966436005,0.43012320478238686,1.1409534663819503,0.5950804329784041,0.5258019525801952,0.5736471306737627,1.210913549969344,0.7511860832894043
2015,KS,Kansas,2913805.0,9614,329.9465818749024,5277,363,55,752,162,230,643,1739,393,0.5543154566511027,0.5821039127645927,0.4265722762055489,1.1195086779626102,0.5877836078761176,0.544978020606548,0.5102493566421156,1.2502894188469553,0.7670850767085077
2016,KS,Kansas,2913805.0,8864,304.2070419949173,4536,394,56,653,149,230,528,1691,627,0.5135177665147019,0.5574104464942561,0.3772516667244387,1.039924234969989,0.48715677590788303,0.7940126130233266,0.4852730188201536,1.1007683215130024,0.6836772066902699
2017,KS,Kansas,2913805.0,8411,288.6603599074063,3983,423,51,624,111,264,598,1748,609,0.4656774771341018,0.5149368198086335,0.3456795594801511,1.0758379596006844,0.5217148540419815,0.7346466096481176,0.548423283061199,0.7782919646613379,0.6593406593406593
2018,KS,Kansas,2913805.0,2245,77.04702270742209,955,93,16,156,33,87,340,384,181,0.1272049411460699,0.12456469327618537,0.10458497864723354,0.25709006186229616,0.33429360810956965,0.22973624755667252,0.2053921337173615,0.26958581815211174,0.21083146659638952
2019,KS,Kansas,2913805.0,7289,250.15400824694856,3354,336,57,502,55,198,425,1787,575,0.455847115890363,0.47230812482429013,0.3428610456578903,1.225794502788391,0.42274675977042364,0.7890656090900358,0.5173089483997387,0.4641350210970464,0.7892550540016616
2020,KS,Kansas,2913805.0,7887,270.6770013779234,3831,379,55,502,28,182,386,1875,649,0.7538741575244748,0.5648707057157761,0.4174219620495252,1.4291158536585367,0.5951463196521632,0.9884703839651522,0.7408311963202671,0.37705359547535683,0.7534246575342466
2010,KY,Kentucky,4477251.0,23207,518.3314493647999,13606,443,84,3543,335,1516,871,1034,1775,1.3255084882812425,0.7750174947515744,1.5168965059575543,0.5104861961372882,0.5727286476107812,2.3328251498265167,2.437455784937938,2.5024277283932173,0.9236859467780955
