State,Year,Crime,Arrests,Population,Crime Rate Per Capita
AR,2017,Vandalism,1574,3030522,0.0005193824694227595
AR,2018,Vandalism,1669,3030522,0.000550730204235442
AR,2019,Vandalism,1908,3030522,0.0006295945055010324
AR,2020,Vandalism,1518,3030522,0.000500903804691073
AR,2021,Vandalism,1685,3030522,0.0005560098227302095
AR,2017,"Stolen Property: Buying, Receiving, Possessing",1794,3030522,0.0005919772237258135
AR,2018,"Stolen Property: Buying, Receiving, Possessing",1882,3030522,0.0006210151254470352
AR,2019,"Stolen Property: Buying, Receiving, Possessing",1861,3030522,0.0006140856261726528
AR,2020,"Stolen Property: Buying, Receiving, Possessing",1672,3030522,0.0005517201327032108
AR,2021,"Stolen Property: Buying, Receiving, Possessing",1663,3030522,0.0005487503472999041
CA,2017,Motor Vehicle Theft,19541,39368078,0.0004963666247562302
CA,2018,Motor Vehicle Theft,18020,39368078,0.0004577312613534245
CA,2019,Motor Vehicle Theft,15240,39368078,0.0003871156727539505
CA,2020,Motor Vehicle Theft,16369,39368078,0.0004157937301384132
CA,2021,Motor Vehicle Theft,823,39368078,2.0905262380347853e-05
CA,2017,Arson,1573,39368078,3.995623052768794e-05
CA,2018,Arson,1529,39368078,3.8838573729710655e-05
CA,2019,Arson,1575,39368078,4.000703310941418e-05
CA,2020,Arson,2051,39368078,5.2098047560259355e-05
CA,2021,Arson,139,39368078,3.530779429973696e-06
CA,2017,Burglary,38214,39368078,0.0009706849290432721
CA,2018,Burglary,35230,39368078,0.0008948874771077216
CA,2019,Burglary,33741,39368078,0.0008570649550125358
CA,2020,Burglary,26220,39368078,0.0006660218464310094
CA,2021,Burglary,910,39368078,2.3115174685439306e-05
CA,2017,Embezzlement,997,39368078,2.5325086990530755e-05
CA,2018,Embezzlement,921,39368078,2.3394588884933625e-05
CA,2019,Embezzlement,988,39368078,2.5096475372762674e-05
CA,2020,Embezzlement,680,39368078,1.7272877786921678e-05
CA,2021,Embezzlement,22,39368078,5.588283989886425e-07
CA,2017,Forgery and Counterfeiting,4449,39368078,0.00011301034305002139
CA,2018,Forgery and Counterfeiting,4118,39368078,0.00010460251577432863
CA,2019,Forgery and Counterfeiting,3824,39368078,9.713453626057132e-05
CA,2020,Forgery and Counterfeiting,2753,39368078,6.992975374616967e-05
CA,2021,Forgery and Counterfeiting,162,39368078,4.115009119825458e-06
CA,2017,Fraud,6936,39368078,0.0001761833534266011
CA,2018,Fraud,6105,39368078,0.0001550748807193483
CA,2019,Fraud,6863,39368078,0.00017432905919359334
CA,2020,Fraud,5042,39368078,0.00012807330853185163
CA,2021,Fraud,451,39368078,1.1455982179267172e-05
CA,2017,Larceny - Theft,47080,39368078,0.001195892773835695
CA,2018,Larceny - Theft,42468,39368078,0.001078742020374985
CA,2019,Larceny - Theft,40497,39368078,0.0010286760760837752
CA,2020,Larceny - Theft,28350,39368078,0.0007201265959694553
CA,2021,Larceny - Theft,1981,39368078,5.0319957199840946e-05
CA,2017,Vandalism,16962,39368078,0.0004308566956202434
CA,2018,Vandalism,16652,39368078,0.00042298229545267613
CA,2019,Vandalism,16811,39368078,0.00042702110069991225
CA,2020,Vandalism,17493,39368078,0.00044434478106856014
CA,2021,Vandalism,1354,39368078,3.4393347828664635e-05
CA,2017,"Stolen Property: Buying, Receiving, Possessing",17423,39368078,0.00044256669070814175
CA,2018,"Stolen Property: Buying, Receiving, Possessing",16227,39368078,0.0004121867468358501
CA,2019,"Stolen Property: Buying, Receiving, Possessing",15168,39368078,0.0003852867798118059
CA,2020,"Stolen Property: Buying, Receiving, Possessing",14631,39368078,0.0003716462866183104
CA,2021,"Stolen Property: Buying, Receiving, Possessing",1218,39368078,3.09387722712803e-05
CO,2017,Motor Vehicle Theft,2879,5807719,0.000495719575964333
CO,2018,Motor Vehicle Theft,2757,5807719,0.00047471304999432653
CO,2019,Motor Vehicle Theft,3175,5807719,0.0005466862291374635
CO,2020,Motor Vehicle Theft,3550,5807719,0.0006112554687993686
CO,2021,Motor Vehicle Theft,4042,5807719,0.0006959703112357881
CO,2017,Arson,287,5807719,4.9416991421244725e-05
CO,2018,Arson,232,5807719,3.9946836270831975e-05
CO,2019,Arson,223,5807719,3.839717451894625e-05
CO,2020,Arson,306,5807719,5.2688499564114584e-05
CO,2021,Arson,302,5807719,5.199976100772093e-05
CO,2017,Burglary,2511,5807719,0.0004323556287761168
CO,2018,Burglary,2504,5807719,0.00043115033630242784
CO,2019,Burglary,2690,5807719,0.0004631766791747328
CO,2020,Burglary,2806,5807719,0.00048315009731014877
CO,2021,Burglary,2428,5807719,0.00041806430373094843
CO,2017,Embezzlement,128,5807719,2.203963380459695e-05
CO,2018,Embezzlement,117,5807719,2.0145602774514402e-05
CO,2019,Embezzlement,74,5807719,1.2741663293282613e-05
CO,2020,Embezzlement,45,5807719,7.748308759428616e-06
CO,2021,Embezzlement,72,5807719,1.2397294015085785e-05
CO,2017,Forgery and Counterfeiting,779,5807719,0.00013413183385766427
CO,2018,Forgery and Counterfeiting,781,5807719,0.0001344762031358611
CO,2019,Forgery and Counterfeiting,801,5807719,0.00013791989591782936
CO,2020,Forgery and Counterfeiting,529,5807719,9.108567408306084e-05
CO,2021,Forgery and Counterfeiting,367,5807719,6.319176254911782e-05
CO,2017,Fraud,2643,5807719,0.00045508400113710736
CO,2018,Fraud,2803,5807719,0.00048263354339285355
CO,2019,Fraud,3010,5807719,0.0005182757636862252
CO,2020,Fraud,1989,5807719,0.0003424752471667448
CO,2021,Fraud,1636,5807719,0.0002816940695650048
CO,2017,Larceny - Theft,22611,5807719,0.0038932668746542317
CO,2018,Larceny - Theft,22069,5807719,0.0037999428002628917
CO,2019,Larceny - Theft,22037,5807719,0.0037944328918117424
CO,2020,Larceny - Theft,15939,5807719,0.0027444509625896155
CO,2021,Larceny - Theft,12733,5807719,0.0021924270096401015
CO,2017,Vandalism,5792,5807719,0.000997293429658012
CO,2018,Vandalism,5490,5807719,0.0009452936686502911
CO,2019,Vandalism,5642,5807719,0.00097146573379325
CO,2020,Vandalism,5593,5807719,0.0009630286864774277
CO,2021,Vandalism,5467,5807719,0.0009413334219510275
CO,2017,"Stolen Property: Buying, Receiving, Possessing",528,5807719,9.091348944396243e-05
CO,2018,"Stolen Property: Buying, Receiving, Possessing",608,5807719,0.00010468826057183552
CO,2019,"Stolen Property: Buying, Receiving, Possessing",638,5807719,0.00010985379974478792
CO,2020,"Stolen Property: Buying, Receiving, Possessing",727,5807719,0.00012517823262454675
CO,2021,"Stolen Property: Buying, Receiving, Possessing",981,5807719,0.00016891313095554383
DE,2017,Motor Vehicle Theft,134,986809,0.0001357912220095277
DE,2018,Motor Vehicle Theft,115,986809,0.00011653724276937077
DE,2019,Motor Vehicle Theft,200,986809,0.00020267346568586222
DE,2020,Motor Vehicle Theft,159,986809,0.00016112540522026045
DE,2021,Motor Vehicle Theft,184,986809,0.00018645958843099323
DE,2017,Arson,32,986809,3.242775450973795e-05
DE,2018,Arson,22,986809,2.2294081225444844e-05
DE,2019,Arson,24,986809,2.4320815882303464e-05
DE,2020,Arson,18,986809,1.82406119117276e-05
DE,2021,Arson,20,986809,2.026734656858622e-05
DE,2017,Burglary,954,986809,0.0009667524313215628
DE,2018,Burglary,704,986809,0.000713410599214235
DE,2019,Burglary,797,986809,0.0008076537607581609
DE,2020,Burglary,643,986809,0.000651595192180047
DE,2021,Burglary,446,986809,0.0004519618284794727
DE,2017,Embezzlement,221,986809,0.00022395417958287773
DE,2018,Embezzlement,163,986809,0.0001651788745339777
DE,2019,Embezzlement,164,986809,0.000166192241862407
DE,2020,Embezzlement,92,986809,9.322979421549662e-05
DE,2021,Embezzlement,78,986809,7.904265161748627e-05
DE,2017,Forgery and Counterfeiting,280,986809,0.0002837428519602071
DE,2018,Forgery and Counterfeiting,216,986809,0.00021888734294073117
DE,2019,Forgery and Counterfeiting,239,986809,0.00024219479149460534
DE,2020,Forgery and Counterfeiting,122,986809,0.00012363081406837595
DE,2021,Forgery and Counterfeiting,98,986809,9.930999818607249e-05
DE,2017,Fraud,1830,986809,0.001854462211025639
DE,2018,Fraud,1382,986809,0.001400473647889308
DE,2019,Fraud,1335,986809,0.0013528453834531302
DE,2020,Fraud,827,986809,0.0008380547806110402
DE,2021,Fraud,951,986809,0.0009637123293362748
DE,2017,Larceny - Theft,5045,986809,0.005112438171925874
DE,2018,Larceny - Theft,4538,986809,0.0045986609364122135
DE,2019,Larceny - Theft,4528,986809,0.004588527263127921
DE,2020,Larceny - Theft,3327,986809,0.003371473101684318
DE,2021,Larceny - Theft,2790,986809,0.0028272948463177777
DE,2017,Vandalism,751,986809,0.0007610388636504126
DE,2018,Vandalism,763,986809,0.0007731992715915644
DE,2019,Vandalism,863,986809,0.0008745360044344954
DE,2020,Vandalism,850,986809,0.0008613622291649144
DE,2021,Vandalism,873,986809,0.0008846696777187886
DE,2017,"Stolen Property: Buying, Receiving, Possessing",403,986809,0.0004083870333570124
DE,2018,"Stolen Property: Buying, Receiving, Possessing",327,986809,0.00033137111639638473
DE,2019,"Stolen Property: Buying, Receiving, Possessing",378,986809,0.0003830528501462796
DE,2020,"Stolen Property: Buying, Receiving, Possessing",346,986809,0.0003506250956365416
DE,2021,"Stolen Property: Buying, Receiving, Possessing",343,986809,0.0003475849936512537
FL,2017,Motor Vehicle Theft,8292,21733312,0.0003815341168433049
FL,2018,Motor Vehicle Theft,209,21733312,9.616573856759614e-06
FL,2019,Motor Vehicle Theft,7776,21733312,0.00035779176224958256
FL,2020,Motor Vehicle Theft,7183,21733312,0.0003305064593928436
FL,2021,Motor Vehicle Theft,13,21733312,5.981600963534688e-07
FL,2017,Arson,241,21733312,1.1088967940091229e-05
FL,2018,Arson,9,21733312,4.1411083593701686e-07
FL,2019,Arson,252,21733312,1.1595103406236473e-05
FL,2020,Arson,257,21733312,1.1825164981757037e-05
FL,2021,Arson,0,21733312,0.0
FL,2017,Burglary,16513,21733312,0.0007598013593142178
FL,2018,Burglary,321,21733312,1.4769953148420268e-05
FL,2019,Burglary,13560,21733312,0.000623926992811772
FL,2020,Burglary,12565,21733312,0.0005781447392831796
FL,2021,Burglary,10,21733312,4.6012315104112987e-07
FL,2017,Embezzlement,1054,21733312,4.8496980119735085e-05
FL,2018,Embezzlement,18,21733312,8.282216718740337e-07
FL,2019,Embezzlement,1047,21733312,4.81748939140063e-05
FL,2020,Embezzlement,653,21733312,3.004604176298578e-05
FL,2021,Embezzlement,1,21733312,4.601231510411299e-08
FL,2017,Forgery and Counterfeiting,2030,21733312,9.340499966134936e-05
FL,2018,Forgery and Counterfeiting,64,21733312,2.9447881666632313e-06
FL,2019,Forgery and Counterfeiting,1808,21733312,8.319026570823628e-05
FL,2020,Forgery and Counterfeiting,1215,21733312,5.5904962851497275e-05
FL,2021,Forgery and Counterfeiting,5,21733312,2.3006157552056494e-07
